Ward name,Old code,New code,Population - 2015,Children aged 0-15 - 2015,Working-age (16-64) - 2015,Older people aged 65+ - 2015,Average GCSE capped point scores - 2014
Brent - Dudden Hill,00AEGN,E05000089,"15,750","3,350","10,750","1,700",312
Brent - Fryent,00AEGP,E05000090,"14,150","2,900","9,450","1,800",327
Brent - Harlesden,00AEGQ,E05000091,"17,500","4,750","11,150","1,550",305
Brent - Kensal Green,00AEGR,E05000092,"15,050","3,200","10,350","1,550",308
Brent - Kenton,00AEGS,E05000093,"12,550","2,050","8,150","2,350",357
Brent - Kilburn,00AEGT,E05000094,"17,550","3,400","12,500","1,650",319
Brent - Mapesbury,00AEGU,E05000095,"16,000","2,750","11,750","1,500",314
Brent - Northwick Park,00AEGW,E05000096,"13,300","2,150","9,350","1,800",346
Brent - Preston,00AEGX,E05000097,"15,750","3,300","10,400","2,050",339
Brent - Queens Park,00AEGY,E05000098,"15,500","3,200","10,750","1,550",346
Brent - Queensbury,00AEGZ,E05000099,"16,800","3,350","11,400","2,100",332
Brent - Stonebridge,00AEHA,E05000100,"17,600","4,700","11,350","1,600",299
Brent - Sudbury,00AEHB,E05000101,"15,250","3,250","10,350","1,700",331
Brent - Tokyngton,00AEHC,E05000102,"18,900","3,800","13,300","1,850",311
Brent - Welsh Harp,00AEHD,E05000103,"14,000","3,000","9,300","1,700",316
Brent - Wembley Central,00AEHE,E05000104,"16,150","3,100","11,350","1,700",306
Brent - Willesden Green,00AEHF,E05000105,"15,950","3,050","11,600","1,300",297
Bromley - Bickley,00AFGD,E05000106,"15,450","3,000","9,300","3,150",359
Bromley - Biggin Hill,00AFGE,E05000107,"10,250","1,850","6,400","2,000",312
Bromley - Bromley Common and Keston,00AFGF,E05000108,"16,250","3,350","10,100","2,800",342
Bromley - Bromley Town,00AFGG,E05000109,"18,600","3,900","12,200","2,500",340
Bromley - Chelsfield and Pratts Bottom,00AFGH,E05000110,"14,800","2,800","9,000","3,000",364
Bromley - Chislehurst,00AFGJ,E05000111,"15,400","2,900","9,200","3,300",343
Bromley - Clock House,00AFGK,E05000112,"16,050","3,450","10,600","2,000",338
